Rank	Word	Count	Frequency
501	engaged	41	0.000212
502	gentlemen	41	0.000212
503	perhaps	40	0.000207
504	treated	40	0.000207
505	future	40	0.000207
506	accident	40	0.000207
507	advantage	40	0.000207
508	affection	40	0.000207
509	inquired	40	0.000207
510	revenge	40	0.000207
511	bring	40	0.000207
512	hold	40	0.000207
513	offered	40	0.000207
514	companion	40	0.000207
515	happy	40	0.000207
516	english	39	0.000201
517	men	39	0.000201
518	pretty	39	0.000201
519	apartment	39	0.000201
520	ground	39	0.000201
521	along	39	0.000201
522	within	39	0.000201
523	dead	39	0.000201
524	proposal	39	0.000201
525	intended	39	0.000201
526	misfortune	39	0.000201
527	spirits	39	0.000201
528	mine	39	0.000201
529	swore	39	0.000201
530	satisfied	39	0.000201
531	dressed	39	0.000201
532	coming	39	0.000201
533	state	39	0.000201
534	point	38	0.000196
535	themselves	38	0.000196
536	true	38	0.000196
537	fell	38	0.000196
538	performed	38	0.000196
539	ran	38	0.000196
540	minutes	38	0.000196
541	visit	38	0.000196
542	certainly	38	0.000196
543	enjoyed	38	0.000196
544	request	38	0.000196
545	months	38	0.000196
546	discourse	37	0.000191
547	bear	37	0.000191
548	general	37	0.000191
549	learned	37	0.000191
550	suppose	37	0.000191
551	thoughts	37	0.000191
552	hard	37	0.000191
553	broke	37	0.000191
554	four	37	0.000191
555	call	37	0.000191
556	works	37	0.000191
557	mackshane	37	0.000191
558	anything	36	0.000186
559	surprise	36	0.000186
560	friendship	36	0.000186
561	scheme	36	0.000186
562	office	36	0.000186
563	according	36	0.000186
564	declaration	36	0.000186
565	bowling	36	0.000186
566	used	36	0.000186
567	pounds	36	0.000186
568	waited	36	0.000186
569	ready	36	0.000186
570	possible	36	0.000186
571	hours	36	0.000186
572	mrs	36	0.000186
573	proper	36	0.000186
574	evening	36	0.000186
575	sick	36	0.000186
576	distress	35	0.000181
577	rather	35	0.000181
578	imagined	35	0.000181
579	husband	35	0.000181
580	pretended	35	0.000181
581	felt	35	0.000181
582	live	35	0.000181
583	observing	35	0.000181
584	sea	35	0.000181
585	arms	35	0.000181
586	started	35	0.000181
587	open	35	0.000181
588	sentiments	35	0.000181
589	jackson	35	0.000181
590	circumstance	34	0.000176
591	right	34	0.000176
592	ought	34	0.000176
593	thou	34	0.000176
594	hundred	34	0.000176
595	meet	34	0.000176
596	keep	34	0.000176
