Rank	Word	Count	Frequency
1083	subject	25	0.000093
1084	et	25	0.000093
1085	knife	25	0.000093
1086	—thats	25	0.000093
1087	pages	25	0.000093
1088	character	25	0.000093
1089	waistcoat	25	0.000093
1090	sacred	25	0.000093
1091	example	25	0.000093
1092	stones	25	0.000093
1093	flat	25	0.000093
1094	threw	25	0.000093
1095	remembered	25	0.000093
1096	lies	25	0.000093
1097	touched	25	0.000093
1098	poet	25	0.000093
1099	honour	25	0.000093
1100	wide	25	0.000093
1101	kick	25	0.000093
1102	strange	25	0.000093
1103	bank	25	0.000093
1104	kidney	25	0.000093
1105	instance	25	0.000093
1106	perfume	25	0.000093
1107	kissed	25	0.000093
1108	imagine	25	0.000093
1109	falling	25	0.000093
1110	particular	25	0.000093
1111	railway	25	0.000093
1112	notice	25	0.000093
1113	soap	25	0.000093
1114	straw	25	0.000093
1115	besides	25	0.000093
1116	t	25	0.000093
1117	dirty	24	0.000090
1118	colour	24	0.000090
1119	brow	24	0.000090
1120	loud	24	0.000090
1121	dressed	24	0.000090
1122	folded	24	0.000090
1123	except	24	0.000090
1124	thick	24	0.000090
1125	fancy	24	0.000090
1126	ate	24	0.000090
1127	collar	24	0.000090
1128	state	24	0.000090
1129	war	24	0.000090
1130	image	24	0.000090
1131	stand	24	0.000090
1132	roman	24	0.000090
1133	twelve	24	0.000090
1134	wearing	24	0.000090
1135	tram	24	0.000090
1136	justice	24	0.000090
1137	bath	24	0.000090
1138	wore	24	0.000090
1139	tail	24	0.000090
1140	whos	24	0.000090
1141	gentle	24	0.000090
1142	note	24	0.000090
1143	glad	24	0.000090
1144	heat	24	0.000090
1145	playing	24	0.000090
1146	stuff	24	0.000090
1147	cream	24	0.000090
1148	dance	24	0.000090
1149	address	24	0.000090
1150	picture	24	0.000090
1151	tried	24	0.000090
1152	—whats	24	0.000090
1153	possibly	24	0.000090
1154	dinner	24	0.000090
1155	foundation	24	0.000090
1156	special	24	0.000090
1157	somebody	24	0.000090
1158	—ay	24	0.000090
